,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data,cluster_tag
299,299,[5],0.1607,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Id suggest staying at this hotel but requesting a room that faces the main street and/or stay on the top floor.,would suggest stay hotel request room face main street stay top floor,['room']
300,300,[2],0.1363,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",If you have time take the morning trek with lunch.,time take morning trek lunch,['location']
301,301,[4],0.1718,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Dont miss the nearby Palace Kitchen Restaurant and the doughnut shop that are on 5th Avenue.,miss nearby palace kitchen restaurant doughnut shop 5 th avenue,['value']
302,302,[2],0.1343,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",One thing you must ask for when checking in is a Majestic Passport.,one thing must ask check majestic passport,['location']
303,303,[1],0.1513,"walk, make, expect, night, leave, shop, beware, careful, service, line",Do beware that a soda at the bar will cost you $3.56 before tip,beware soda bar cost 56 tip,['quality']
304,304,[3],0.1528,"recommend, highly, place, day, find, location, rate, rent, drive, bring",If you want to have the most relaxing and wonderful vacation ever come to Secrets,want relax wonderful vacation ever come secret,['staff']
305,305,[6],0.1654,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Hotel is down some side streets 5 minute walk away from the main street of La Rambla with its metro stop of Liceu - so you are within easy reach of the rest of the City via the metro.,hotel side street minute walk away main street laugh lot rambla metro stop liceu within easy reach rest city via metro,['service']
306,306,[2],0.1416,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",just keep your wits about you and you will have no problems.,keep wit problem,['location']
307,307,[4],0.1473,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",go through the large gate and to the left is a lovely little outside bar area ___�_�___?,go large gate leave lovely little outside bar area,['value']
308,308,[4],0.1758,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Would advise taking a stroll in the opposite direction to La Rambla and exploring the area were you will stumble across the most wonderful bars and restaurants at much better value.,would advise take stroll opposite direction laugh lot rambla explore area stumble across wonderful bar restaurant much good value,['value']
309,309,[3],0.1378,"recommend, highly, place, day, find, location, rate, rent, drive, bring",would recommend.,would recommend,['staff']
310,310,[4],0.2047,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","One word of caution - drink lots of bottled water and watch the food preparation, making sure your food has been cooked all the way.",one word caution drink lot bottle water watch food preparation making sure food cook way,['value']
311,311,[6],0.1587,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",So dont always think that booking early is the best.,always think book early best,['service']
312,312,[2],0.1662,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Beware - If paying the buffet breakfast was poor value, Ok for cereals and fruit,poor quality cooked breakfast.",beware pay buffet breakfast poor value ok cereal fruit poor quality cook breakfast,['location']
313,313,[6],0.1592,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Waikiki is small and you can walk to the beach in a short time.,waikiki small walk beach short time,['service']
314,314,[7],0.1442,"good, recommend, staff, price, place, city, nice, water, visit, side","However, be prepared that most restaurants and hotels are working at half of their usual staff since Katrina.",however prepared restaurant hotel work half usual staff since katrina,['food']
315,315,[2],0.1434,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Made an excellent recommendation or dinner-Tommys...you have to eat there,make excellent recommendation dinner tommys eat,['location']
316,316,[2],0.1384,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Stay in courtyard room-very quiet.,stay courtyard room quiet,['location']
317,317,[3],0.1523,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Go to Spa Aria at tehhOtel MOnteleone...wonderful services there Eat at Muriels and Tommys You wont be disappointed,go spa aria tehhotel monteleone wonderful service eat muriels tommys disappointed,['staff']
318,318,[5],0.1314,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Dont hesitate to stay here unless you are upper class American and only expect the very very best.,hesitate stay unless upper class american expect best,['room']
319,319,[1],0.1506,"walk, make, expect, night, leave, shop, beware, careful, service, line",If you expect 5 star service then dont leave your country where you have all the modern facilities.,expect star service leave country modern facility,['quality']
320,320,[1],0.15,"walk, make, expect, night, leave, shop, beware, careful, service, line",So bottom line is if you are an average american like me go to this resort.,bottom line average american like go resort,['quality']
321,321,[6],0.1368,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",And please ignore the negative comments.,please ignore negative comment,['service']
322,322,[7],0.1815,"good, recommend, staff, price, place, city, nice, water, visit, side",If you can get the rate this is a great stopover and the staff have a lot of nice touches like getting us some water for the cab ride back to the airport.,get rate great stopover staff lot nice touch like get us water cab ride back airport,['food']
323,323,[2],0.2226,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Tip-join their members club ,free, via their website before you book, and then you truly get treated royally .i.e upgrade to suites, free calls, free welcome snacks, daily papers etc.",tip join member club free via website book truly get treat royally upgrade suite free call free welcome snack daily paper etc,['location']
324,324,[0],0.1318,"room, floor, view, call, clean, internet, service, drink, high, deal",Ask for room with an odd number thats starts over 13.,ask room odd number start 13,['facility']
325,325,[2],0.1633,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","If you dont want to stay in a hi tech hotel ,of which there are many in Madrid, and prefer a bit of old Spain - stay here.",want stay hi tech hotel many madrid prefer bit old spain stay,['location']
326,326,[4],0.1394,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I would recommend this hotel to anyone who likes a bit of style and comfort.,would recommend hotel anyone likes bit style comfort,['value']
327,327,[4],0.1549,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Also this is a safer area than say- Sol and the Gran Via-where I saw an attempt at pic-pocketing etc at night time.,also safer area say sol gran via saw attempt pic pocket etc night time,['value']
328,328,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",Be careful where you stay in this city.,careful stay city,['quality']
329,329,[7],0.1431,"good, recommend, staff, price, place, city, nice, water, visit, side",I highly recommend this hotel for families and/or friends who want to hang out together instead of booking small separate rooms.,highly recommend hotel family friends want hang together instead book small separate room,['food']
330,330,[5],0.1486,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Our room was beautiful and spacious and if you can afford it, I highly recommend the bigger room when staying with children.",room beautiful spacious afford highly recommend big room stay child,['room']
331,331,[3],0.1662,"recommend, highly, place, day, find, location, rate, rent, drive, bring","You can rent innertubes or floats ,about $10 for the day each,.",rent innertubes float 10 day,['staff']
332,332,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",Dont expect ANYTHING to be included.,expect anything included,['quality']
333,333,[6],0.1557,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","If you do stay there and even if you dont, make sure you have dinner at House of Nanking on Kearny - excellent",stay even dont make sure dinner house nanking kearny excellent,['service']
334,334,[0],0.1528,"room, floor, view, call, clean, internet, service, drink, high, deal","If you can, upgrade to an Ocean Front Room",upgrade ocean front room,['facility']
335,335,[6],0.1737,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The pools were very clean, but you had to get up at 5am to put your towel on a loung chair or you wouldnt get one by the pool or under an umbrella.",pool clean get 5 put towel loung chair would get one pool umbrella,['service']
336,336,[3],0.1641,"recommend, highly, place, day, find, location, rate, rent, drive, bring",We highly recommend the Clarendon Hotel and Suites.,highly recommend clarendon hotel suite,['staff']
337,337,[2],0.1447,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Just fill out the card with the time slot you wish your breakfast to arrive at your room.,fill card time slot wish breakfast arrive room,['location']
338,338,[6],0.1557,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",So if you are wanting a pool I dont suggest booking here.,want pool suggest book,['service']
339,339,[1],0.1893,"walk, make, expect, night, leave, shop, beware, careful, service, line","For the best breakfast tun left as you leave the hotel and walk up to where the small bridge crosses the road at Grand Central Station under this bridge straight across from the station you get the most fantastic breakfast, be early it gets very busy.",best breakfast tun leave leave hotel walk small bridge cross road grand central station bridge straight across station get fantastic breakfast early get busy,['quality']
340,340,[6],0.1671,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Ps Do the circle line boat tour to see the statue of liberty and the new york skyline it is fantastic.,postscript circle line boat tour see statue liberty new york skyline fantastic,['service']
341,341,[3],0.1473,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Ill recommend it to everyone heading to the City.,recommend everyone head city,['staff']
342,342,[4],0.146,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",PARKING: is $43 plus tax per day; watch out,park 43 plus tax per day watch,['value']
343,343,[3],0.1445,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I highly recommend this hotel especially for couples.,highly recommend hotel especially couple,['staff']
344,344,[2],0.1473,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",There are some cons about this hotel - REMEMBER - if you drive down your parking is NOT FREE,con hotel remember drive parking free,['location']
345,345,[6],0.1368,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",This is a great hotel if you want to stay somewhere a little different.,great hotel want stay somewhere little different,['service']
346,346,[2],0.156,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","The manager should have been promoted long ago,-I will never again meet such a Man who was so happy to help and rectify any problems- he was wonderful.",manager promote long ago never meet man happy help rectify problem wonderful,['location']
347,347,[2],0.1379,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",This hotel is recommended for budget travelers who do not mind to carry on your own luggages to the room and during check out.,hotel recommend budget traveler mind carry luggage room check,['location']
348,348,[3],0.1634,"recommend, highly, place, day, find, location, rate, rent, drive, bring","I highly recommend the hotel, especially at the priceline rate of $55.00 per night ,+ tax and fees,.",highly recommend hotel especially priceline rate 55 00 per night tax fee,['staff']
349,349,[2],0.1617,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","If you want an upgrade room, join the Guest Select program, and you will be sent a coupon for a free room upgrade coupon.",want upgrade room join guest select program send coupon free room upgrade coupon,['location']
350,350,[6],0.1603,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","after making the reservation, call the hotel and advise you have an upgrade coupon.",make reservation call hotel advise upgrade coupon,['service']
351,351,[2],0.1456,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Like others have already done so I would recommend Johns Cafe for breakfast and there is also a great 24 hour deli/store on the corner of 44th and 2nd.,like others already do would recommend john cafe breakfast also great 24 hour deli store corner 44 th 2 nd,['location']
352,352,[5],0.1373,"stay, resort, mind, suggest, money, car, front, star, noise, choice",SAVE YOUR MONEY AND GO ELSEWHERE.,save money go elsewhere,['room']
353,353,[5],0.1523,"stay, resort, mind, suggest, money, car, front, star, noise, choice","AS A MATTER OF FACT, AVOID ALL SECRETS RESORTS, AS THEY ARE BUILDING WITHIN PLAYA DEL CARMEN, AND HAVE OTHER RESORTS.",matter fact avoid secret resort building within playa del carmen resort,['room']
354,354,[5],0.154,"stay, resort, mind, suggest, money, car, front, star, noise, choice","I understand things happen, an apology would have been nice.",understand thing happen apology would nice,['room']
355,355,[5],0.1576,"stay, resort, mind, suggest, money, car, front, star, noise, choice",My recommendation - spring for the extra money - the full ocean view is well worth it,recommendation spring extra money full ocean view worth,['room']
356,356,[0],0.1879,"room, floor, view, call, clean, internet, service, drink, high, deal",The rooms can be a bit small but I suggest ocean view only since the other rooms face high rises and this defeats the purpose of being in a tropical setting.,room bite small suggest ocean view since room face high rise defeat purpose tropical setting,['facility']
357,357,[5],0.1678,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Overall, if cost is a main concern, and you want stay in a basic room for $50 with decent service, in an acceptable neighborhood, then you apparently dont have enough $$$ to stay in a San Francisco hotel, try an upgrade to a local hostel, or stay home.",overall cost main concern want stay basic room 50 decent service acceptable neighborhood apparently enough stay san francisco hotel try upgrade local hostel stay home,['room']
358,358,[7],0.1394,"good, recommend, staff, price, place, city, nice, water, visit, side","If you are at all sensitive to noise, then it is very important that you get a room in the back of the hotel.",sensitive noise important get room back hotel,['food']
359,359,[6],0.1603,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","Perhaps the secret is to book the executive rooms because they certainly are spacious ,you can upgrade on check in,.",perhaps secret book executive room certainly spacious upgrade check,['service']
360,360,[7],0.1819,"good, recommend, staff, price, place, city, nice, water, visit, side",Room layout good - but would recommend some barrier to stop water from the shower getting the carpet wet,room layout good would recommend barrier stop water shower get carpet wet,['food']
361,361,[5],0.1474,"stay, resort, mind, suggest, money, car, front, star, noise, choice",I highly recommend spending the extra money and staying in one of the rooms on the club level.,highly recommend spending extra money stay one room club level,['room']
362,362,[6],0.1417,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Our Classic room was a bit small and you might consider upgrading to a larger room if you are staying for very long.,classic room bit small might consider upgrading large room stay long,['service']
363,363,[6],0.1627,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","We were in a deluxe room ,dont be fooled, these are the basic rooms, which was really small, compared to the fantastic villa we had in Benoa for less then half the price,",deluxe room dont fool basic room really small compare fantastic villa benoa less half price,['service']
364,364,[4],0.1445,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","The shuttle isnt regular enough, and the town of Ubud is fantastic - loads of lovely restaurants, and quiet away from the main streets - I would really recommend staying in the town.",shuttle regular enough town ubud fantastic load lovely restaurant quiet away main street would really recommend stay town,['value']
365,365,[0],0.15,"room, floor, view, call, clean, internet, service, drink, high, deal","In conclusion, If you are an American planning on going to the Dominican Republic, Think it twice please.",conclusion american planning go dominican republic think twice please,['facility']
366,366,[0],0.1632,"room, floor, view, call, clean, internet, service, drink, high, deal","If you like quietness, as I do, ask for a room at the backside not fasing the street and higher up.",like quietness ask room backside fasing street high,['facility']
367,367,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal","Do not expect a excellent view, but you cant get it all.",expect excellent view can not get,['facility']
368,368,[7],0.1576,"good, recommend, staff, price, place, city, nice, water, visit, side",Boston itself is a really easy city to walk around and I would highy recommend it for a short break.,boston really easy city walk around would highy recommend short break,['food']
369,369,[1],0.1453,"walk, make, expect, night, leave, shop, beware, careful, service, line",A must if you have an unlimited expense account since the rooms are very expensive but certainly worthwhile,must unlimited expense account since room expensive certainly worthwhile,['quality']
370,370,[1],0.1845,"walk, make, expect, night, leave, shop, beware, careful, service, line","Walking to the shops, you may want to mentally prepare yourself for the abuse you will take from the local shop owners,aka vultures, that will swoop down upon you to practically drag you into their shops.",walk shop may want mentally prepare abuse take local shop owner aka vulture swoop upon practically drag shop,['quality']
371,371,[2],0.1821,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Breakfast was quite pricey at 18euros each, but it was a buffet you could eat as much as you like, so if you have a big appetite, perhaps its good value, and if you didnt want to pay 18euros then dont eat it...",breakfast quite pricey 18 euro buffet could eat much like big appetite perhaps good value want pay 18 euro eat,['location']
372,372,[5],0.169,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Stay away from this hotel, if you really need to be downtown stay in a well known chain for a few extra bucks, your peace of mind will be worth it.",stay away hotel really need downtown stay know chain extra buck peace mind worth,['room']
373,373,[7],0.1389,"good, recommend, staff, price, place, city, nice, water, visit, side",Tip: pay in cash and have a Rick Steves book to get discounts.,tip pay cash rick steves book get discount,['food']
374,374,[6],0.1714,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The location is amazing, very near the Duomo ,if you are a light sleeper this can be bad for the tolling bells,, just around the corner from the Piazza Republica and down the street from the Uffizi museum and square.",location amaze near duomo light sleeper bad toll bell around corner piazza republica street uffizi museum square,['service']
375,375,[0],0.1611,"room, floor, view, call, clean, internet, service, drink, high, deal","They offer handicapped accessible rooms which are more spacious and located at the enterior of the hotel ,which I would recommend as those staying with rooms facing the streets often complain of the noise,.",offer handicap accessible room spacious locate enterior hotel would recommend stay room face street often complain noise,['facility']
376,376,[2],0.1394,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Dont forget to tip...,forget tip,['location']
377,377,[2],0.1745,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Tip, tip, tip and you will not be sorry.",tip tip tip sorry,['location']
378,378,[4],0.15,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Although there are many choices, dont go with an expectation that you will be having a fine dining experience.",although many choice go expectation fine dining experience,['value']
379,379,[0],0.1662,"room, floor, view, call, clean, internet, service, drink, high, deal","Drinks: Unless you like really sweet drinks, you might want to consider bringing your own mixers..",drink unless like really sweet drink might want consider bring mixer,['facility']
380,380,[3],0.1572,"recommend, highly, place, day, find, location, rate, rent, drive, bring","There really is no good wine choice and if you are a wine drinker, bring your own.",really good wine choice wine drinker bring,['staff']
381,381,[3],0.1624,"recommend, highly, place, day, find, location, rate, rent, drive, bring","The beer is okay when cold ,dont forget the bubba keg, and there is always a very happy and gracious bartender to get you whatever you want.",beer okay cold dont forget bubba keg always happy gracious bartender get whatever want,['staff']
382,382,[1],0.1379,"walk, make, expect, night, leave, shop, beware, careful, service, line",Wonderful hotel but bring your ear plugs,wonderful hotel bring ear plug,['quality']
383,383,[0],0.1365,"room, floor, view, call, clean, internet, service, drink, high, deal","If you are looking to do downtown Seattle as a tourist you cannot do much better, in my opinion, than the Best Western Executive Inn.",look downtown seattle tourist can not much good opinion best western executive inn,['facility']
384,384,[5],0.1447,"stay, resort, mind, suggest, money, car, front, star, noise, choice",So I would recommend that if you reserve a room here and cancel SAVE YOUR CANCELATION NUMBER,would recommend reserve room cancel save cancelation number,['room']
385,385,[4],0.1808,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Weve stayed in San Francisco before and I would recommend the Commodore Hotel or another Experience Rewards hotel in the SF area.,stay san francisco would recommend commodore hotel another experience reward hotel sf area,['value']
386,386,[6],0.1434,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Note that the hotel offers great packages on its website - the best way to go.,note hotel offer great package website best way go,['service']
387,387,[3],0.1535,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Also, if you need services find a good front desk clerk, they helped us find a rental car when we were told none were available at all locations we called.",also need service find good front desk clerk help us find rental car tell none available location call,['staff']
388,388,[1],0.1734,"walk, make, expect, night, leave, shop, beware, careful, service, line","I was happy to get it, but a working minibar would have been preferable.",happy get work minibar would preferable,['quality']
389,389,[6],0.1422,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The mall had many restaurants, including a pretty good dim sum ,recommended,.",mall many restaurant include pretty good dim sum recommend,['service']
390,390,[7],0.1466,"good, recommend, staff, price, place, city, nice, water, visit, side","The dessert place was very good as well ,also recommended,.",dessert place good also recommend,['food']
391,391,[6],0.1451,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","Its also a great location if you love shopping because Nordstrom and Macys are right up the street as well as 2 big malls, Westlake Center and Pacific Place.",also great location love shop nordstrom macys right street big mall westlake center pacific place,['service']
392,392,[2],0.1614,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Bigger rooms , bar at ground floor, bigger reception, but then it wouldnt be the hotel that it is .",big room bar ground floor big reception would hotel,['location']
393,393,[2],0.15,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","If you need to get out and roam, this is not the resort for you, as you are miles away from anything, however there is so much to do right there at the resort I cant imagine why you would need to go anywhere.",need get roam resort mile away anything however much right resort can not imagine would need go anywhere,['location']
394,394,[3],0.15,"recommend, highly, place, day, find, location, rate, rent, drive, bring","If you want to rent a car, rent it at the airport, not the resort",want rent car rent airport resort,['staff']
395,395,[3],0.2157,"recommend, highly, place, day, find, location, rate, rent, drive, bring","They wanted over $300 for 4 days, and we ended up renting at Enterprise for about $125 insurance included , after driving in Puerto Rico I highly recommend taking there insurance,.",want 300 day end rent enterprise 125 insurance include drive puerto rico highly recommend take insurance,['staff']
396,396,[1],0.1486,"walk, make, expect, night, leave, shop, beware, careful, service, line",Through the resort you can contact a guy named Angel for some of the best scuba diving I have ever done in my life.,resort contact guy name angel best scuba dive ever do life,['quality']
397,397,[1],0.1626,"walk, make, expect, night, leave, shop, beware, careful, service, line","The hotel decor is very tasteful and trendy, and while the wallpaper may need a tiny bit of work here and there, as has been mentioned before, its really not a big deal.",hotel decor tasteful trendy wallpaper may need tiny bit work mention really big deal,['quality']
398,398,[0],0.1662,"room, floor, view, call, clean, internet, service, drink, high, deal","Rooms are clean and nice, but bear in mind you just pay for lodging, service does not seem to be included.",room clean nice bear mind pay lodge service seem include,['facility']
399,399,[3],0.1578,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Both places are highly recommended.,place highly recommend,['staff']
400,400,[0],0.1442,"room, floor, view, call, clean, internet, service, drink, high, deal",If you go to Oahu whereever you stay you HAVE to eat at Aarons in the Ala Moana hotel.,go oahu whereever stay eat aaron ala moana hotel,['facility']
401,401,[4],0.1672,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Crown Plaza is fine, but beware of parking prices",crown plaza fine beware park price,['value']
402,402,[0],0.1507,"room, floor, view, call, clean, internet, service, drink, high, deal",But make sure to ask for a high floor if you dont like the noise.,make sure ask high floor like noise,['facility']
403,403,[6],0.1394,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","Also, you must eat at Landrys.",also must eat landrys,['service']
404,404,[3],0.1536,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Do not take the Raymond Hudd suite unless you take both of them,take raymond hudd suite unless take,['staff']
405,405,[5],0.15,"stay, resort, mind, suggest, money, car, front, star, noise, choice","But for a true represenation, go to the five star alliance website.",true represenation go five star alliance website,['room']
406,406,[3],0.1374,"recommend, highly, place, day, find, location, rate, rent, drive, bring","However, if you plan to take an afternoon nap, bring ear plugs.",however plan take afternoon nap bring ear plug,['staff']
407,407,[3],0.1557,"recommend, highly, place, day, find, location, rate, rent, drive, bring","To get a cheap rate, look around online for the lowest rate, then call the motel directly.",get cheap rate look around online low rate call motel directly,['staff']
408,408,[1],0.1498,"walk, make, expect, night, leave, shop, beware, careful, service, line",La Luna could dampen this noise significantly if they were to seal the door so that it fits better in the door frame.,laugh lot luna could dampen noise significantly seal door fit well door frame,['quality']
409,409,[3],0.1603,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I recommend not staying in room X01-X12 where X is the floor number.,recommend stay room x01 x12 floor number,['staff']
410,410,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal",Ask for room not facing street.,ask room face street,['facility']
411,411,[7],0.1839,"good, recommend, staff, price, place, city, nice, water, visit, side","Recommend walking two blocks to Judys cafe on Chestnut St. for breakfast ,they only take cash, but good portions of good food,.",recommend walk two block judys cafe chestnut st breakfast take cash good portion good food,['food']
412,412,[0],0.1318,"room, floor, view, call, clean, internet, service, drink, high, deal","If you are looking for a fancy, corporate Marriot or Sheraton, this is not the place for you.",look fancy corporate marriot sheraton place,['facility']
413,413,[5],0.1492,"stay, resort, mind, suggest, money, car, front, star, noise, choice","But if you prefer to stay in a cozy and comfortable bed and breakfast type of hotel, the Avenue Garden is the perfect fit.",prefer stay cozy comfortable bed breakfast type hotel avenue garden perfect fit,['room']
414,414,[6],0.1394,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Just remember to GO EARLY.,remember go early,['service']
415,415,[2],0.1782,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",They either need to rewrite the policy on the amount of time a cart can be kept by guests or put DVD players in all rooms.,either need rewrite policy amount time cart keep guest put dvd player room,['location']
416,416,[6],0.2068,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","For both the beach and the pool, if you want a chair under a palapa to cover yourself from the sun, I suggest you get their early ,between 8 and 8:30, or before you have breakfast, take your towels and leave them on the chairs you want.",beach pool want chair palapa cover sun suggest get early 30 breakfast take towel leave chair want,['service']
417,417,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",Please remember to tip the staff.,please remember tip staff,['quality']
418,418,[0],0.1498,"room, floor, view, call, clean, internet, service, drink, high, deal","If you go to the Mexican, dont leave without savoring mega amounts of a local topping called pico de gauaio.",go mexican leave without savor mega amount local topping call pico de gauaio,['facility']
419,419,[4],0.2008,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","The cave itself is gorgeous but take a swimsuit and change of clothes, you will be wet and muddy upon completion of the tour and a video of your adventure is available for a nominal fee on VHS, CD or DVD.",cave gorgeous take swimsuit change clothes wet muddy upon completion tour video adventure available nominal fee vhs cd dvd,['value']
420,420,[2],0.15,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Must see Getty Centre and the Grove shopping road.,must see getty centre grove shop road,['location']
421,421,[0],0.1623,"room, floor, view, call, clean, internet, service, drink, high, deal",Tip choose a floor above the tenth floor for great views.,tip choose floor tenth floor great view,['facility']
422,422,[0],0.15,"room, floor, view, call, clean, internet, service, drink, high, deal","Other than the frozen drinks, I would not reccommend a mixed drink here.",frozen drink would reccommend mixed drink,['facility']
423,423,[0],0.1742,"room, floor, view, call, clean, internet, service, drink, high, deal",Dont open curtains as you will only view filthy windows.,open curtain view filthy window,['facility']
424,424,[7],0.1473,"good, recommend, staff, price, place, city, nice, water, visit, side",Alcohol was top shelf - try a vodka lime juice,alcohol top shelf try vodka lime juice,['food']
425,425,[2],0.1564,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Finally, if you stay here, be very careful when going down into the metro and all of the time you stay on the metro.",finally stay careful go metro time stay metro,['location']
426,426,[2],0.1759,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Put your valuables in a zippered pouch inside your clothing, dont carry a backpack, keep an eye on anything you put down beside you in a restaurant, walk in caravans, dont let people surround you on the metro: make sure you are near an exit door.",put valuable zipper pouch inside clothing carry backpack keep eye anything put beside restaurant walk caravan let people surround metro make sure near exit door,['location']
427,427,[2],0.1528,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Be aware of your surroundings at all times, and you wont be a victim.",aware surroundings time victim,['location']
428,428,[4],0.1574,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","If you go on this trip bring items from your dollar stores ,pencils, markers, coloring books, for gifts for these children and watch their reactions.",go trip bring item dollar store pencil marker color book gifts child watch reaction,['value']
429,429,[2],0.1518,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","I recommend adding the breakfast to the room charge, the buffet is varied and an excellent value.",recommend add breakfast room charge buffet vary excellent value,['location']
430,430,[3],0.1619,"recommend, highly, place, day, find, location, rate, rent, drive, bring","For the location, you are much better off at the Hyatt Regency.",location much well hyatt regency,['staff']
431,431,[3],0.1466,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I would highly recommend an upgrade for that price.,would highly recommend upgrade price,['staff']
432,432,[2],0.1422,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","For a good breakfast right on the beach check out Dukes ,less than a 5 minute walk from the hotel,.",good breakfast right beach check duke less minute walk hotel,['location']
433,433,[2],0.153,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","If youre in the mood to splurge, the Royal Hawaiian ,pink hotel, has a great breakfast but it is pricey.",mood splurge royal hawaiian pink hotel great breakfast pricey,['location']
434,434,[7],0.1436,"good, recommend, staff, price, place, city, nice, water, visit, side","If youre looking for a reasonably priced nice hotel steps away from the beach, I would recommend staying at the Waikiki Parc.",look reasonably price nice hotel step away beach would recommend stay waikiki parc,['food']
435,435,[3],0.1494,"recommend, highly, place, day, find, location, rate, rent, drive, bring","Overall, I would highly recommend this hotel.",overall would highly recommend hotel,['staff']
436,436,[0],0.1511,"room, floor, view, call, clean, internet, service, drink, high, deal","Remember to bring comfy walking shoes, the Melia Caribe Tropical is huge",remember bring comfy walking shoe melia caribe tropical huge,['facility']
437,437,[3],0.1794,"recommend, highly, place, day, find, location, rate, rent, drive, bring","I highly recommend this hotel to anyone wishing to avoid the giant impersonal hotels, as you will have all the amenities and none of the hassle.",highly recommend hotel anyone wish avoid giant impersonal hotel amenity none hassle,['staff']
438,438,[3],0.1466,"recommend, highly, place, day, find, location, rate, rent, drive, bring",If I had to recommend only one hotel in would be the Affinia Gardens.,recommend one hotel would affinia garden,['staff']
